code,company_name,title,pubdate,text_path,word_path,word_count
80010,伊藤忠,2026年3月期　決算短信〔IFRS〕（連結）,2026-05-01 13:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\80010_2026年3月期　決算短信〔IFRS〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\80010_2026年3月期　決算短信〔IFRS〕（連結）_words.csv,5209
80530,住友商,2026年3月期決算短信〔IFRS〕(連結),2026-05-01 13:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\80530_2026年3月期決算短信〔IFRS〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\80530_2026年3月期決算短信〔IFRS〕(連結)_words.csv,5508
39090,ショーケース,通期連結業績予想に関するお知らせ,2026-05-01 12:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\39090_通期連結業績予想に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\39090_通期連結業績予想に関するお知らせ_words.csv,527
27680,双日,2026年3月期 決算短信[IFRS会計基準](連結),2026-05-01 12:15:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\27680_2026年3月期 決算短信[IFRS会計基準](連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\27680_2026年3月期 決算短信[IFRS会計基準](連結)_words.csv,7413
22960,伊藤ハム米久ＨＤ,2026年3月期 決算短信〔日本基準〕(連結),2026-05-01 12:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\22960_2026年3月期 決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\22960_2026年3月期 決算短信〔日本基準〕(連結)_words.csv,4783
80310,三井物産,2026年3月期 決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 12:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\80310_2026年3月期 決算短信〔ＩＦＲＳ〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\80310_2026年3月期 決算短信〔ＩＦＲＳ〕（連結）_words.csv,9935
80020,丸紅,2026年3月期 決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 11:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\80020_2026年3月期 決算短信〔ＩＦＲＳ〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\80020_2026年3月期 決算短信〔ＩＦＲＳ〕（連結）_words.csv,6256
53860,鶴弥,2026年３月期決算短信〔日本基準〕(非連結),2026-05-01 10:40:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\53860_2026年３月期決算短信〔日本基準〕(非連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\53860_2026年３月期決算短信〔日本基準〕(非連結)_words.csv,4635
77740,Ｇ－Ｊ・ＴＥＣ,2026年３月期 決算短信〔日本基準〕（非連結）,2026-05-01 10:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\77740_2026年３月期 決算短信〔日本基準〕（非連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\77740_2026年３月期 決算短信〔日本基準〕（非連結）_words.csv,6918
84730,ＳＢＩ,2026年３月期 決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 10:10:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\84730_2026年３月期 決算短信〔ＩＦＲＳ〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\84730_2026年３月期 決算短信〔ＩＦＲＳ〕（連結）_words.csv,4766
83030,ＳＢＩ新生銀行,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 10:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\83030_2026年３月期 決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\83030_2026年３月期 決算短信〔日本基準〕（連結）_words.csv,11546
